,,,,,,,,,,,,,
,,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
city,agg_account_name,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
Barcelona,Gross Branding Spend,27966,40560,37612,40277,40435,39292,31903,30685,30091,31286,29414,27409
Barcelona,Gross Demand Spend,76311,175438,219504,256652,320323,466306,262631,187811,370971,295292,201359,173044
Barcelona,Gross Net Rate,453093,282543,220065,277645,298494,240801,215428,206633,267690,373934,398207,350150
Barcelona,Gross Supply Spend,69304,116959,146336,171102,213548,310871,393946,436984,157055,73823,50340,115363
Barcelona,Group Allocations,1541,1673,1538,1697,1764,1952,4993,1825,1545,1427,1324,1156
Barcelona,Local Operations,19168,20550,18241,21481,22320,24739,25718,22901,20080,18373,17021,14986
Barcelona,Local ops Office Expenses,14,16,13,14,14,16,14,15,12,11,10,9
Barcelona,Local ops Outsourced Services,3105,3343,2989,3242,3275,3573,3290,3529,3013,2704,2554,2149
Barcelona,Local ops Software & Tools,459,433,433,676,601,629,537,488,509,480,406,351
Barcelona,Marketing Admin,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,Net Rate,453093,282543,220065,277645,298494,240801,215428,206633,267690,373934,398207,350150
Barcelona,Net rate incl Other revenue,453593,283132,220725,278241,299228,241649,216067,206966,268444,374773,398989,350865
Barcelona,Nexus_03_Rev_net_incentives,453593,283132,220725,278241,299228,241649,216067,206966,268444,374773,398989,350865
Barcelona,No. of rides/orders,113110,109019,106332,117688,130235,135098,126178,128171,126575,122974,117833,114491
Barcelona,OPEX (fixed cost),63490,61556,52370,58801,60883,67161,62518,60814,51324,49220,45904,39756
Barcelona,Operations Management Total,4724,4886,4800,5999,6769,8066,7815,6496,6195,5603,4848,4358
Barcelona,Other Operating Income and Expenses,289,284,303,327,381,427,363,328,346,352,330,325
Barcelona,Payment Processing,23210,22126,22458,26622,31212,37922,32233,30817,29232,26977,23658,22304
Barcelona,Payroll,12168,13131,11427,13908,14690,16482,14894,15033,13130,11960,10997,9679
Barcelona,Personnel Related Expenses,147,165,146,168,174,193,175,180,154,140,130,113
Barcelona,Refunds,954,938,959,1142,1341,1629,1393,1323,1263,1185,1041,1014
Barcelona,Sales And Marketing,37413,33161,27988,30595,31522,34681,29653,31435,25525,25633,24019,20554
Barcelona,Supply Incentives,69304,116959,146336,171102,213548,310871,393946,436984,157055,73823,50340,115363
Barcelona,Tax Accrual,6292,6187,6308,7552,8876,10825,9262,8814,8376,7822,6846,6667
Barcelona,Total Revenue,627175,616089,624177,746271,873533,1058117,904546,862446,826561,775175,680102,666681
Barcelona,Total campaigns cost,173581,332956,403452,468030,574306,816468,688479,655480,558117,400402,281113,315816
Barcelona,Total revenue exc commission for net rate,501,589,661,596,733,848,638,333,754,839,782,715
Barcelona,Travel,1733,1788,1695,1776,1803,1896,1814,1831,1716,1650,1601,1528
Barcelona,Warehouse and Store Costs,0,0,1,0,1,1,0,0,0,1,1,1
Bilbao,3000:Commission,0,0.00%,0,26228,54171,98173,123493,62845,153301,188486,186181,195748
Bilbao,4151:Supply: Projects,0,0,911,911,1108,1108,2020,2020,2217,3128,3128,3325
Bilbao,4160:Supply: Booking fee,0,0,0,944,1950,3534,4446,2262,5519,6785,6703,7047
Bilbao,4230:Demand: Refunds Agent,0,0,0,42,87,157,198,101,245,302,298,313
Bilbao,4300:Payment processing fees,0,0,0,892,1842,3338,4199,2137,5212,6409,6330,6421
Bilbao,4310:Payout Fees,0,0,0,10,22,39,49,25,61,75,74,78
Bilbao,4311:Fiscalization services,0,0,0,78,139,220,277,141,334,410,405,426
Bilbao,4320:Fraud & Failed Payments,0,0,0,63,130,236,247,126,307,302,298,313
Bilbao,4340:Debt expense,0,0,0,7,15,27,35,18,43,53,52,55
Bilbao,5102:Operational Tax cost - Other,0,0,0,283,585,1060,1334,679,1656,2036,2011,2114
Bilbao,5230:Demand: Car Branding,0,0,0,15,25,44,60,34,70,83,89,81
Bilbao,6420:Infrastructure & services,0,0,0,103,184,290,365,185,442,542,536,567
Bilbao,6421:Communication Services,0,0,0,45,80,127,160,81,192,236,233,245
Bilbao,6500:Travel and Transportation,0,0,0,39,72,121,160,87,189,223,230,212
Bilbao,COS IT Infrastructure,0,0,0,147,264,417,525,266,634,778,770,813
Bilbao,COS Operational Costs,0,0,0,325,672,1217,1531,779,1901,2337,2309,2427
Bilbao,COS Supply Costs,0,0,911,1855,3058,4642,6466,4282,7736,9913,9831,10372
Bilbao,Commission for Net Rate,0,0,0,26228,54171,98173,123493,62845,153301,188486,186181,195748
Bilbao,Customer Support,0,0,0,248,455,740,1009,486,1103,1327,1399,1317
Bilbao,Customer Support G&A,0,0,0,8,16,26,30,16,41,49,55,43
Bilbao,Demand Incentives,0,0,0,31473,62838,74612,83975,15083,73584,60315,59578,78299
Bilbao,Dynamic OPEX,0,0,911,3370,6126,10111,13298,7758,16187,20228,20014,20862
Bilbao,EBITDA (with overhead),0,0,-911,-25191,-37909,-25454,-10503,22960,22693,58195,55957,44930
Bilbao,EBITDA (without overhead),0,0,-911,-25183,-37894,-25427,-10472,22977,22734,58245,56011,44973
Bilbao,Fleet upfront investments,0,0,54667,0,0,0,54667,0,0,54667,0,0
Bilbao,GMV,0,0,0,104910,216683,392693,493970,251381,613204,753943,744722,782993
Bilbao,Gross Demand Spend,0,0,0,31473,62838,74612,83975,15083,73584,60315,59578,78299
Bilbao,Gross Net Rate,0,0,0,-19723,-27952,-9032,11361,35193,48443,90473,88622,77516
Bilbao,Gross Supply Spend,0,0,0,14478,19285,32594,28156,12569,31273,37697,37981,39933
Bilbao,Group Allocations,0,0,0,57,104,172,645,126,269,322,333,307
Bilbao,Issued loans outflow,0,0,103869,0,0,0,0,0,0,0,0,0
Bilbao,Local Operations,0,0,0,681,1258,2110,3207,1528,3347,3956,4077,3766
Bilbao,Local ops Office Expenses,0,0,0,1,1,2,2,1,2,3,3,3
Bilbao,Local ops Outsourced Services,0,0,0,123,218,352,477,273,600,711,760,690
Bilbao,Local ops Software & Tools,0,0,0,14,27,48,61,30,73,86,82,79
Bilbao,Net Rate,0,0,0,-19723,-27952,-9032,11361,35193,48443,90473,88622,77516
Bilbao,Net rate incl Other revenue,0,0,0,-19723,-27952,-9032,11361,35193,48443,90473,88622,77516
Bilbao,Nexus_03_Rev_net_incentives,0,0,0,-19723,-27952,-9032,11361,35193,48443,90473,88622,77516
Bilbao,No. of rides/orders,0,0,0,6994,12525,19833,24948,12696,30059,36958,36506,38382
Bilbao,OPEX (fixed cost),0,0,0,2090,3816,6285,8535,4459,9522,12001,12597,11681
Bilbao,Operations Management Total,0,0,0,201,404,728,1036,455,1103,1295,1237,1186
Bilbao,Other Operating Income and Expenses,0,0,0,7,15,27,35,18,43,53,52,55
Bilbao,Payment Processing,0,0,0,1043,2133,3833,4772,2428,5914,7196,7108,7238
Bilbao,Payroll,0,0,0,456,852,1440,1896,1028,2252,2657,2716,2519
Bilbao,Personnel Related Expenses,0,0,0,6,10,17,23,12,27,32,33,30
Bilbao,Refunds,0,0,0,42,87,157,198,101,245,302,298,313
Bilbao,Sales And Marketing,0,0,0,1153,2087,3408,4289,2428,5031,6668,7066,6555
Bilbao,Supply Incentives,0,0,0,14478,19285,32594,28156,12569,31273,37697,37981,39933
Bilbao,Tax Accrual,0,0,0,283,585,1060,1334,679,1656,2036,2011,2114
Bilbao,Total Revenue,0,0,0,26228,54171,98173,123493,62845,153301,188486,186181,195748
Bilbao,Total campaigns cost,0,0,0,45951,82123,107205,112131,27652,104858,98013,97559,118232
Bilbao,Travel,0,0,0,26,47,79,104,57,123,146,150,139
Granada,EBITDA (with overhead),0,0,0,0,0,0,0,0,0,0,0,0
Granada,EBITDA (without overhead),0,0,0,0,0,0,0,0,0,0,0,0
Granada,Net Rate,0,0,0,0,0,0,0,0,0,0,0,0
Granada,Net rate incl Other revenue,0,0,0,0,0,0,0,0,0,0,0,0
Granada,Nexus_03_Rev_net_incentives,0,0,0,0,0,0,0,0,0,0,0,0
Granada,Supply Incentives,0,0,0,0,0,0,0,0,0,0,0,0
Granada,Total campaigns cost,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,3000:Commission,2810597,2348264,2765966,2833131,3196645,3170152,2506397,2095574,2955619,3268193,3236649,3693800
Madrid,4140:Supply: Car branding incentives,589786,584145,740411,704489,797321,975807,623005,438905,848016,749872,742919,1060218
Madrid,4150:Supply: Other costs,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,4151:Supply: Projects,0,0,43333,43333,43333,43333,86667,86667,86667,130000,130000,130000
Madrid,4160:Supply: Booking fee,96510,80882,95196,97545,110398,109778,86262,71821,101762,112481,111438,127226
Madrid,4190:Supply: Insurance,4,4,4,4,5,4,4,3,4,4,5,5
Madrid,4230:Demand: Refunds Agent,4530,3831,4499,4587,5196,5160,4069,3383,4770,5285,5246,5946
Madrid,4231:Demand: Refunds Principal,22,22,25,24,27,26,22,18,23,27,27,27
Madrid,4300:Payment processing fees,88784,72089,85029,87538,99002,98573,77187,64360,91609,101027,99917,110843
Madrid,4310:Payout Fees,1010,837,988,1018,1151,1147,897,748,1066,1175,1162,1338
Madrid,4311:Fiscalization services,7358,7166,8086,7883,8440,8004,7042,6701,8051,9016,8915,9671
Madrid,4320:Fraud & Failed Payments,8078,5861,6916,6110,6909,6881,4486,3742,5332,4702,4648,5352
Madrid,4340:Debt expense,2273,2122,2434,2351,2686,2626,2158,1763,2354,2682,2717,2830
Madrid,5100:Operational costs,16,16,18,17,19,19,16,13,16,19,19,19
Madrid,5101:Operational fines,202,198,225,212,243,236,198,160,208,240,246,245
Madrid,5102:Operational Tax cost - Other,28953,24264,28559,29263,33120,32933,25879,21546,30529,33744,33431,38168
Madrid,5110:Hardware maintenance,24,24,27,25,29,28,24,19,25,29,29,29
